auc	q	max_cost_decrease	acc_cost_decrease	f1_cost_decrease
0.8	0.76	11.49	10.86	11.31
0.8	0.78	10.49	10.07	10.35
0.8	0.8	9.45	9.22	9.36
0.8	0.82	8.38	7.99	8.34
0.8	0.84	10.34	10.30	10.21
0.8	0.86	8.82	8.49	8.69
0.8	0.88	7.31	7.17	7.18
0.8	0.9	5.83	5.77	5.69
0.8	0.92	4.64	4.30	4.28
0.8	0.94	3.61	3.02	2.96
0.8	0.96	2.49	1.77	1.76
0.8	0.98	1.29	0.00	0.76
0.85	0.5	14.77	14.64	14.32
0.85	0.52	17.70	17.62	17.24
0.85	0.54	17.22	17.08	16.82
0.85	0.56	16.51	16.29	16.26
0.85	0.58	15.89	15.58	15.69
0.85	0.6	15.39	15.16	15.21
0.85	0.62	15.02	14.69	14.87
0.85	0.64	19.46	19.18	19.27
0.85	0.66	18.68	18.50	18.54
0.85	0.68	19.88	19.70	19.72
0.85	0.7	19.03	18.72	18.90
0.85	0.72	17.91	17.72	17.69
0.85	0.74	16.75	16.38	16.55
0.85	0.76	15.55	15.32	15.39
0.85	0.78	14.29	14.18	14.18
0.85	0.8	13.03	12.70	12.83
0.85	0.82	11.70	11.53	11.55
0.85	0.84	15.00	15.00	14.29
0.85	0.86	12.93	12.81	12.26
0.85	0.88	10.93	10.93	10.35
0.85	0.9	8.95	8.95	8.53
0.85	0.92	6.88	6.88	6.52
0.85	0.94	4.73	4.73	4.73
0.85	0.96	2.96	2.87	2.87
0.85	0.98	1.53	0.00	1.09
0.9	0.5	20.90	20.82	20.80
0.9	0.52	24.80	24.74	24.60
0.9	0.54	24.00	23.87	23.87
0.9	0.56	23.00	22.92	22.93
0.9	0.58	22.12	21.94	22.09
0.9	0.6	21.34	21.00	21.28
0.9	0.62	20.70	20.45	20.67
0.9	0.64	26.44	26.42	26.36
0.9	0.66	25.32	25.15	25.19
0.9	0.68	26.25	26.25	26.10
0.9	0.7	25.10	24.95	24.86
0.9	0.72	23.66	23.60	23.54
0.9	0.74	22.19	22.19	22.01
0.9	0.76	20.70	20.48	20.60
0.9	0.78	19.13	19.03	18.98
0.9	0.8	17.49	17.49	17.49
0.9	0.82	15.88	15.88	15.77
0.9	0.84	20.70	20.70	20.56
0.9	0.86	18.22	18.22	17.87
0.9	0.88	15.62	15.62	15.06
0.9	0.9	12.92	12.92	12.92
0.9	0.92	10.10	10.10	10.10
0.9	0.94	7.17	7.17	7.17
0.9	0.96	4.24	4.24	4.24
0.9	0.98	1.80	1.71	1.71
0.95	0.5	29.76	29.71	29.76
0.95	0.52	34.88	34.80	34.88
0.95	0.54	33.58	33.54	33.58
0.95	0.56	32.12	32.12	32.12
0.95	0.58	30.81	30.63	30.81
0.95	0.6	29.62	29.48	29.62
0.95	0.62	28.54	28.46	28.54
0.95	0.64	35.85	35.85	35.85
0.95	0.66	34.21	34.06	34.21
0.95	0.68	34.65	34.65	34.58
0.95	0.7	33.05	33.05	33.05
0.95	0.72	31.20	31.20	31.20
0.95	0.74	29.30	29.30	29.30
0.95	0.76	27.34	27.16	27.34
0.95	0.78	25.31	25.25	25.31
0.95	0.8	23.27	23.27	23.27
0.95	0.82	21.21	21.21	21.21
0.95	0.84	27.97	27.97	27.97
0.95	0.86	24.67	24.67	24.67
0.95	0.88	21.24	21.24	21.24
0.95	0.9	17.66	17.66	17.66
0.95	0.92	13.94	13.94	13.94
0.95	0.94	10.09	10.09	10.09
0.95	0.96	6.11	6.11	6.11
0.95	0.98	2.53	2.53	2.53
